Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,Target,Probability,Signal,Position_Change
2025-06-24,1452.46,1462.37,1430.74,1438.38,16402744,0.0106,0.0384,0.0794,57.9853,0.0095,0.0103,0.8554,0.0162,0.0438,10618881.05,1.5447,-0.0041,0.0137,0.0086,1,0.563,1,0
2025-06-25,1451.47,1459.79,1448.0,1454.74,7525851,0.02,0.0481,0.0907,62.2513,0.0101,0.0102,1.2705,0.0155,0.0453,10697943.05,0.7035,0.0114,0.026,0.0127,1,0.5581,1,0
2025-06-26,1456.52,1485.97,1452.56,1482.5,14657893,0.0355,0.0653,0.1103,68.1591,0.0118,0.0103,3.725,0.0161,0.0547,10742241.85,1.3645,0.0191,0.0433,0.0373,1,0.5847,1,0
2025-06-27,1486.56,1508.97,1484.08,1502.43,11117052,0.0445,0.0763,0.1238,71.596,0.014,0.0109,6.1285,0.0165,0.0679,10608670.25,1.0479,0.0134,0.0336,0.0613,0,0.54,1,0
2025-06-30,1500.84,1511.74,1483.19,1487.75,8409527,0.031,0.063,0.1116,65.9492,0.0151,0.0119,4.3676,0.0172,0.0727,10624213.2,0.7915,-0.0098,0.0301,0.0437,1,0.5139,-1,-2
2025-07-01,1487.75,1518.29,1487.26,1515.31,10368523,0.0451,0.0792,0.1307,70.6322,0.0168,0.0127,6.7909,0.0169,0.0794,10580008.05,0.98,0.0185,0.0535,0.0679,0,0.5422,1,2
2025-07-02,1515.31,1516.9,1495.78,1505.8,6361002,0.0347,0.0694,0.1222,67.1979,0.0178,0.0138,6.2023,0.017,0.0851,10491716.8,0.6063,-0.0063,0.0351,0.062,0,0.5411,1,0
2025-07-03,1507.78,1518.78,1500.05,1504.8,11283291,0.0307,0.0658,0.1201,66.83,0.0182,0.0147,5.895,0.0166,0.0905,10370040.5,1.0881,-0.0007,0.015,0.059,1,0.5462,1,0
2025-07-04,1510.95,1516.9,1504.21,1514.22,6603501,0.0335,0.0694,0.1257,68.5756,0.0187,0.0154,4.1668,0.0163,0.0959,10291107.5,0.6417,0.0063,0.0078,0.0417,1,0.5613,1,0
2025-07-07,1513.53,1531.57,1511.94,1528.3,7251074,0.0388,0.076,0.1346,71.0297,0.0196,0.0161,5.8138,0.016,0.1029,10259404.95,0.7068,0.0093,0.0273,0.0581,0,0.5611,1,0
2025-07-08,1522.85,1531.67,1517.1,1524.43,7171261,0.0326,0.0702,0.1303,69.4249,0.02,0.0169,5.9824,0.0159,0.1071,10222308.95,0.7015,-0.0025,0.006,0.0598,0,0.5708,1,0
2025-07-09,1523.54,1537.72,1497.17,1505.99,8870660,0.0182,0.0549,0.1153,62.212,0.0193,0.0176,3.523,0.0174,0.1093,10256056.95,0.8649,-0.0121,0.0001,0.0352,0,0.4993,-1,-2
2025-07-10,1506.69,1511.65,1494.59,1504.21,10047129,0.0154,0.0515,0.1127,61.5473,0.0183,0.0177,1.4644,0.0162,0.1082,10317007.7,0.9738,-0.0012,-0.0004,0.0146,0,0.5448,1,2
2025-07-11,1499.05,1502.03,1477.54,1482.4,7234991,0.0006,0.0347,0.0955,53.9419,0.0164,0.0177,-1.3332,0.0166,0.1036,10190893.45,0.7099,-0.0145,-0.021,-0.0133,0,0.4958,-1,-2
2025-07-14,1479.42,1487.16,1466.44,1471.0,10311846,-0.0064,0.0257,0.0862,50.4339,0.014,0.017,-1.1259,0.0162,0.0992,10283581.1,1.0027,-0.0077,-0.0375,-0.0113,1,0.5329,1,2
2025-07-15,1473.48,1483.69,1469.71,1472.68,8132454,-0.0048,0.0258,0.0865,50.9402,0.0119,0.016,-2.8133,0.0158,0.0916,10171873.85,0.7995,0.0011,-0.0339,-0.0281,1,0.5278,1,0
2025-07-16,1460.39,1478.23,1458.9,1472.88,10409983,-0.0042,0.0249,0.0857,51.0044,0.0101,0.0148,-2.1862,0.0151,0.0823,10358286.25,1.005,0.0001,-0.022,-0.0219,0,0.5476,1,0
2025-07-17,1474.66,1476.85,1461.28,1463.76,11854613,-0.0094,0.0178,0.0781,47.926,0.0082,0.0136,-2.7273,0.0146,0.0736,10450655.4,1.1343,-0.0062,-0.0269,-0.0273,0,0.5575,1,0
2025-07-18,1472.09,1472.09,1456.52,1463.36,10296318,-0.0088,0.0168,0.077,47.7898,0.0065,0.0122,-3.3588,0.014,0.0722,9514939.55,1.0821,-0.0003,-0.0128,-0.0336,0,0.5606,1,0
2025-07-21,1452.46,1463.36,1410.92,1416.37,22442744,-0.0369,-0.0152,0.0419,35.1489,0.0027,0.0106,-7.3238,0.0156,0.0829,10337622.85,2.171,-0.0321,-0.0371,-0.0732,0,0.4847,-1,-2
2025-07-22,1415.18,1419.64,1398.62,1400.7,20396320,-0.0432,-0.0251,0.0301,32.0997,-0.0014,0.0083,-8.1165,0.0157,0.0956,10537301.65,1.9356,-0.0111,-0.0489,-0.0812,1,0.4946,-1,0
2025-07-23,1413.79,1413.79,1402.29,1412.4,8354596,-0.032,-0.0163,0.0383,36.5273,-0.004,0.0058,-6.2145,0.0153,0.1036,10578738.9,0.7898,0.0084,-0.0411,-0.0621,0,0.4974,-1,0
2025-07-24,1407.05,1410.82,1384.05,1390.89,14740507,-0.0424,-0.0301,0.0223,32.3507,-0.0073,0.0032,-7.5335,0.0164,0.1203,10582869.6,1.3929,-0.0152,-0.0498,-0.0753,0,0.4994,-1,0
2025-07-25,1386.92,1389.0,1372.25,1379.78,11854722,-0.0455,-0.0364,0.014,30.4163,-0.0104,0.0005,-6.9226,0.0164,0.1351,10619753.1,1.1163,-0.008,-0.0571,-0.0692,0,0.5294,1,2
2025-07-28,1380.38,1395.75,1373.14,1375.72,7748361,-0.0439,-0.0378,0.0109,29.7169,-0.013,-0.0022,-6.4772,0.0169,0.1483,10586694.8,0.7319,-0.0029,-0.0287,-0.0648,1,0.5258,1,0
2025-07-29,1371.16,1408.04,1371.16,1404.97,10750072,-0.0214,-0.0166,0.032,40.3565,-0.0129,-0.0043,-4.5977,0.0164,0.146,10605772.25,1.0136,0.0213,0.003,-0.046,0,0.5405,1,0
2025-07-30,1405.96,1411.11,1389.3,1398.03,7209849,-0.0238,-0.0207,0.0267,38.8536,-0.0133,-0.0061,-5.0819,0.0167,0.1483,10648214.6,0.6771,-0.0049,-0.0102,-0.0508,0,0.5127,-1,-2
2025-07-31,1376.22,1390.59,1370.37,1378.3,17065827,-0.0341,-0.0332,0.012,34.8771,-0.0148,-0.0079,-5.8384,0.017,0.154,10937341.4,1.5603,-0.0141,-0.0091,-0.0584,1,0.5058,-1,0
2025-08-01,1375.03,1393.86,1372.45,1381.77,10321171,-0.0288,-0.0296,0.0144,36.1155,-0.0154,-0.0094,-5.5755,0.017,0.1523,11123224.9,0.9279,0.0025,0.0014,-0.0558,1,0.5057,-1,0
2025-08-04,1383.16,1403.98,1379.78,1399.41,6312820,-0.0148,-0.0165,0.0271,42.1391,-0.0145,-0.0103,-1.1974,0.0173,0.1406,11076312.2,0.5699,0.0128,0.0172,-0.012,0,0.5239,1,2
2025-08-05,1398.92,1398.92,1376.22,1379.78,9315972,-0.026,-0.0292,0.0126,37.8609,-0.0151,-0.0114,-1.4935,0.0177,0.133,11183547.75,0.833,-0.014,-0.0179,-0.0149,1,0.4931,-1,-2
2025-08-06,1379.98,1383.95,1371.46,1380.87,5834312,-0.0229,-0.0273,0.0132,38.2359,-0.0152,-0.0121,-2.2324,0.0176,0.1248,11031730.35,0.5289,0.0008,-0.0123,-0.0223,0,0.5241,1,2
2025-08-07,1375.82,1381.77,1354.3,1377.5,9976705,-0.0229,-0.0286,0.0107,37.4828,-0.0153,-0.0128,-0.9627,0.0182,0.1145,11028209.15,0.9047,-0.0024,-0.0006,-0.0096,0,0.5091,-1,-2
2025-08-08,1373.14,1385.24,1353.31,1356.09,8793606,-0.0346,-0.042,-0.005,33.0315,-0.0167,-0.0138,-1.7169,0.0174,0.1126,11106139.9,0.7918,-0.0155,-0.0186,-0.0172,1,0.5009,-1,0
2025-08-11,1358.27,1376.12,1349.55,1374.33,9997486,-0.0196,-0.028,0.0083,39.6112,-0.0162,-0.0141,-0.101,0.0175,0.1046,11090421.9,0.9015,0.0135,-0.0179,-0.001,0,0.52,-1,0
2025-08-12,1370.07,1389.9,1363.43,1368.58,12244664,-0.0215,-0.0309,0.004,38.3326,-0.0161,-0.0145,-2.5901,0.0183,0.0961,11296032.4,1.084,-0.0042,-0.0081,-0.0259,1,0.5379,1,2
2025-08-13,1376.12,1379.88,1365.71,1370.76,7457021,-0.0181,-0.0282,0.0056,39.1347,-0.0157,-0.0147,-1.9506,0.0175,0.0829,11148384.3,0.6689,0.0016,-0.0073,-0.0195,0,0.5185,-1,-2
2025-08-14,1370.96,1374.35,1363.79,1367.48,7126128,-0.0185,-0.0294,0.0032,38.3269,-0.0154,-0.0149,-0.785,0.0171,0.0692,10911960.05,0.6531,-0.0024,-0.0073,-0.0079,1,0.5331,1,2
2025-08-18,1383.6,1388.48,1370.66,1375.34,11785109,-0.0117,-0.0229,0.0088,41.446,-0.0144,-0.0147,-0.4653,0.0169,0.0466,10986399.6,1.0727,0.0057,0.0142,-0.0047,1,0.5148,-1,-2
2025-08-19,1383.6,1414.46,1382.71,1413.56,14384719,0.0143,0.0041,0.0365,53.7065,-0.0111,-0.0137,1.0111,0.0166,0.0445,10583498.35,1.3592,0.0278,0.0285,0.0101,0,0.5634,1,2
2025-08-20,1406.5,1418.34,1403.51,1406.5,8725641,0.0083,-0.0009,0.031,51.5589,-0.009,-0.0128,1.9365,0.0163,0.0458,9999964.4,0.8726,-0.005,0.0277,0.0194,1,0.5166,-1,-2
2025-08-21,1418.44,1425.31,1413.76,1418.24,11021323,0.0151,0.0072,0.0392,54.796,-0.0066,-0.0115,2.7063,0.0157,0.047,10133300.75,1.0876,0.0083,0.0346,0.0271,0,0.5585,1,2
2025-08-22,1413.46,1416.85,1401.42,1402.71,5818868,0.0036,-0.0037,0.0275,50.033,-0.0056,-0.0104,1.8301,0.0157,0.0488,9687218.8,0.6007,-0.011,0.0258,0.0183,1,0.5038,-1,-2
2025-08-25,1408.19,1412.97,1399.23,1406.1,5979407,0.0055,-0.0013,0.0297,51.0335,-0.0045,-0.0092,3.6878,0.0151,0.0502,9393453.05,0.6366,0.0024,0.0224,0.0369,0,0.5233,1,2
2025-08-26,1401.52,1403.51,1375.24,1378.53,12145259,-0.0129,-0.02,0.0094,43.4187,-0.0052,-0.0086,0.3056,0.0158,0.051,9613297.95,1.2634,-0.0196,-0.0248,0.0031,1,0.4876,-1,-2
2025-08-28,1383.5,1385.79,1360.21,1379.52,13161813,-0.011,-0.0186,0.01,43.7433,-0.0056,-0.008,0.7994,0.0165,0.0496,9733885.0,1.3522,0.0007,-0.0192,0.008,0,0.4818,-1,0
