Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,Target
2025-07-23,1003.0,1012.38,999.01,1009.64,13634916,0.0188,0.0382,0.1173,62.0843,0.0075,0.0079,0.652,0.0126,0.0292,17747138.2,0.7683,0.0086,0.014,0.0065,0
2025-07-24,1016.32,1016.32,1001.71,1004.6,19107176,0.0124,0.0317,0.1105,58.9189,0.0078,0.0079,0.3988,0.0129,0.0304,16198255.5,1.1796,-0.005,0.0137,0.004,0
2025-07-25,1007.5,1007.5,999.5,1002.3,9306598,0.0091,0.0281,0.1068,57.4787,0.0077,0.0079,1.3048,0.013,0.0299,15252916.2,0.6102,-0.0023,0.0267,0.013,1
2025-07-28,1001.5,1010.7,1000.25,1004.25,12059580,0.01,0.0289,0.1078,58.407,0.0076,0.0078,1.5379,0.0127,0.0307,15173444.2,0.7948,0.0019,0.0065,0.0154,1
2025-07-29,999.95,1013.25,998.15,1010.8,19895696,0.015,0.0342,0.1137,61.4513,0.008,0.0078,1.5604,0.0131,0.0325,15448759.7,1.2879,0.0065,0.0097,0.0156,1
2025-07-30,1014.0,1016.3,1008.5,1012.9,15154036,0.0154,0.0349,0.1147,62.4014,0.0083,0.0079,1.7305,0.0131,0.0349,15262549.0,0.9929,0.0021,0.0032,0.0173,0
2025-07-31,1007.3,1015.7,1004.0,1009.1,22183032,0.0105,0.0297,0.1093,59.5415,0.0083,0.008,1.8285,0.013,0.0358,15528675.3,1.4285,-0.0038,0.0045,0.0183,0
2025-08-01,1007.0,1014.15,1004.65,1006.1,11317258,0.0068,0.0256,0.1049,57.3084,0.0079,0.008,3.0555,0.0131,0.0359,15701341.0,0.7208,-0.003,0.0038,0.0306,0
2025-08-04,1005.05,1009.25,994.05,996.0,13933946,-0.003,0.0147,0.0928,50.4485,0.0068,0.0078,-0.1774,0.0132,0.0356,15830567.0,0.8802,-0.01,-0.0082,-0.0018,0
2025-08-05,993.25,997.2,982.75,988.8,23978058,-0.0092,0.0071,0.0839,46.2027,0.0052,0.0074,-1.2247,0.0133,0.0372,16268254.1,1.4739,-0.0072,-0.0218,-0.0122,1
2025-08-06,985.55,994.0,985.0,992.65,14080204,-0.0049,0.0105,0.0872,48.6895,0.0042,0.0067,-1.6828,0.0131,0.0373,16279192.9,0.8649,0.0039,-0.02,-0.0168,1
2025-08-07,990.05,1000.8,988.4,997.7,13081186,0.0002,0.0151,0.0917,51.8345,0.0037,0.0061,-0.6868,0.0124,0.037,16081736.7,0.8134,0.0051,-0.0113,-0.0069,0
2025-08-08,993.55,996.4,985.0,986.95,13895264,-0.0096,0.004,0.0791,45.4484,0.0025,0.0054,-1.5315,0.0118,0.038,16150653.8,0.8604,-0.0108,-0.019,-0.0153,1
2025-08-11,987.95,998.8,986.55,997.8,9105854,0.0012,0.0144,0.09,51.8908,0.0023,0.0048,-0.6423,0.0119,0.0366,15951504.0,0.5708,0.011,0.0018,-0.0064,0
2025-08-12,995.95,998.0,983.75,984.95,12937802,-0.0106,0.0013,0.0751,45.0979,0.0012,0.0041,-2.5574,0.0121,0.039,15873485.7,0.8151,-0.0129,-0.0039,-0.0256,1
2025-08-13,997.0,997.0,984.55,990.15,13577396,-0.0049,0.0063,0.0799,48.061,0.0007,0.0034,-2.246,0.0119,0.0395,15652624.9,0.8674,0.0053,-0.0025,-0.0225,1
