Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,Target,Probability,Signal,Position_Change
2024-10-11,3870.2,3962.64,3841.66,3875.99,5759183,-0.0333,-0.0357,0.0299,29.5761,-0.0122,-0.0093,-3.3385,0.0167,0.0946,2646603.25,2.1761,-0.0185,-0.0242,-0.0334,0,0.5411,1,0
2024-10-14,3867.4,3891.13,3850.77,3864.27,2137590,-0.0328,-0.0372,0.0265,28.6573,-0.0136,-0.0102,-3.9931,0.0165,0.0876,2680543.45,0.7974,-0.003,-0.0319,-0.0399,0,0.5246,1,0
2024-10-15,3859.04,3895.38,3825.36,3845.73,2759474,-0.034,-0.0402,0.0214,27.2169,-0.015,-0.0112,-3.5539,0.017,0.0785,2760761.15,0.9995,-0.0048,-0.0321,-0.0355,0,0.5511,1,0
2024-10-16,3816.02,3844.05,3799.39,3825.32,2359151,-0.0356,-0.0436,0.0158,25.6862,-0.0164,-0.0123,-4.4997,0.0171,0.0659,2793750.5,0.8444,-0.0053,-0.0371,-0.045,1,0.5364,1,0
2024-10-17,3841.99,3858.01,3823.45,3838.44,2522659,-0.0293,-0.0388,0.0191,28.471,-0.0169,-0.0132,-2.9236,0.0167,0.0676,2771794.5,0.9101,0.0034,-0.028,-0.0292,1,0.5555,1,0
2024-10-18,3830.01,3882.59,3820.65,3860.96,2361000,-0.0214,-0.0319,0.0248,33.1048,-0.0166,-0.0138,-2.8019,0.0163,0.0689,2743466.95,0.8606,0.0059,-0.0039,-0.028,0,0.5424,1,0
2024-10-21,3869.91,3876.79,3811.28,3820.51,1595450,-0.0287,-0.0405,0.0139,29.4184,-0.0173,-0.0146,-4.2839,0.0168,0.074,2550844.05,0.6255,-0.0105,-0.0113,-0.0428,0,0.5331,1,0
2024-10-22,3807.54,3829.83,3751.68,3760.25,1928049,-0.04,-0.0536,-0.002,24.9593,-0.019,-0.0157,-5.3594,0.0176,0.0849,2562130.55,0.7525,-0.0158,-0.0222,-0.0536,1,0.5457,1,0
2024-10-23,3745.36,3852.07,3741.19,3807.77,1966476,-0.0253,-0.04,0.0105,33.5172,-0.0187,-0.0161,-4.1567,0.0181,0.0866,2509853.05,0.7835,0.0126,-0.0046,-0.0416,0,0.572,1,0
2024-10-24,3749.48,3819.71,3749.48,3790.59,2676744,-0.0269,-0.0427,0.0058,32.0922,-0.0189,-0.0167,-4.0126,0.0182,0.0897,2508036.6,1.0673,-0.0045,-0.0125,-0.0401,1,0.544,1,0
2024-10-25,3799.16,3831.89,3776.36,3799.63,1759676,-0.0223,-0.0389,0.0082,33.6897,-0.0185,-0.0171,-1.9701,0.018,0.089,2397807.85,0.7339,0.0024,-0.0159,-0.0197,1,0.5403,1,0
2024-10-28,3810.3,3871.22,3793.49,3830.81,1532534,-0.013,-0.0298,0.0163,39.0184,-0.0172,-0.017,-0.8659,0.018,0.0835,2323810.7,0.6595,0.0082,0.0027,-0.0087,0,0.5511,1,0
2024-10-29,3835.49,3842.66,3802.01,3816.2,1445885,-0.0151,-0.0323,0.0123,37.4978,-0.0165,-0.0169,-0.7679,0.018,0.0815,2270934.15,0.6367,-0.0038,0.0149,-0.0077,1,0.5222,1,0
2024-10-30,3815.97,3845.93,3801.97,3825.0,1935002,-0.0117,-0.0289,0.0144,39.0388,-0.0155,-0.0166,-0.0084,0.0171,0.0757,2276516.0,0.85,0.0023,0.0045,-0.0001,0,0.537,1,0
2024-10-31,3811.28,3819.06,3708.28,3716.19,3740372,-0.0361,-0.0544,-0.0143,29.39,-0.0173,-0.0171,-3.1849,0.0175,0.0829,2296028.65,1.6291,-0.0284,-0.0196,-0.0318,1,0.5547,1,0
2024-11-01,3736.23,3744.75,3723.31,3730.94,154895,-0.0293,-0.0488,-0.0103,31.849,-0.0178,-0.0172,-3.3676,0.0172,0.0824,2155500.25,0.0719,0.004,-0.0181,-0.0337,0,0.5501,1,0
2024-11-04,3714.18,3738.15,3664.5,3712.16,2269192,-0.031,-0.0516,-0.0151,30.3975,-0.0185,-0.0175,-2.836,0.0174,0.0799,2195328.9,1.0336,-0.005,-0.031,-0.0284,1,0.5573,1,0
2024-11-05,3690.58,3732.62,3690.58,3718.91,967590,-0.0266,-0.048,-0.0132,31.604,-0.0186,-0.0177,-1.0994,0.0173,0.0754,2166615.05,0.4466,0.0018,-0.0255,-0.011,1,0.5444,1,0
2024-11-06,3749.11,3886.01,3722.56,3876.51,3792017,0.0133,-0.0073,0.0284,52.3662,-0.0145,-0.0165,1.8053,0.019,0.0637,2302090.7,1.6472,0.0424,0.0135,0.0181,1,0.5539,1,0
2024-11-07,3904.65,3938.45,3825.38,3887.04,3724349,0.0145,-0.0045,0.0308,53.3844,-0.0115,-0.0155,2.5445,0.0199,0.0575,2369364.4,1.5719,0.0027,0.046,0.0254,0,0.5166,-1,-2
2024-11-08,3890.88,3904.69,3855.91,3883.39,1648039,0.0122,-0.0052,0.0296,52.9618,-0.0091,-0.0142,2.2044,0.0196,0.058,2163807.2,0.7616,-0.0009,0.0409,0.022,1,0.511,-1,0
2024-11-11,3865.78,3965.14,3855.91,3931.8,1406487,0.0224,0.0069,0.042,57.7401,-0.0061,-0.0124,2.6363,0.0199,0.0626,2127252.05,0.6612,0.0125,0.0592,0.0264,0,0.5759,1,2
2024-11-12,3948.0,3949.88,3899.64,3930.59,1587640,0.02,0.0064,0.0412,57.5826,-0.0037,-0.0107,2.9975,0.0189,0.0677,2068660.35,0.7675,-0.0003,0.0569,0.03,0,0.5141,-1,-2
2024-11-13,3912.51,3929.98,3868.45,3886.53,1098813,0.0077,-0.0047,0.0292,52.02,-0.0028,-0.0092,1.6086,0.0189,0.0703,2005643.45,0.5479,-0.0112,0.0026,0.0161,0,0.5278,1,2
