Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,HL_Spread,Close_Position,RSI_Lag_1,RSI_Lag_2,Return_1D_Lag_1,Return_1D_Lag_2,MACD_Lag_1,MACD_Lag_2,Vol_Ratio_Lag_1,Vol_Ratio_Lag_2,Target,Probability,Signal,Position_Change
2025-10-24,1011.0,1011.95,991.3,994.75,17707768,0.0101,0.0172,0.0598,59.4027,0.0094,0.0061,1.8064,0.0147,0.0791,22403267.2,0.7904,-0.0139,0.0004,0.0181,0.0208,0.1671,73.2283,72.7675,0.0011,0.0047,0.0096,0.0086,1.9542,0.1642,1,0.5022,-1,0
2025-10-27,996.5,1009.05,996.2,1002.95,15700796,0.0166,0.0246,0.0678,63.7092,0.0095,0.0068,2.2479,0.0145,0.0767,21617643.05,0.7263,0.0082,0.0004,0.0225,0.0128,0.5253,59.4027,73.2283,-0.0139,0.0011,0.0094,0.0096,0.7904,1.9542,1,0.5441,1,2
2025-10-28,997.65,1008.0,995.0,1003.55,33904289,0.0155,0.0242,0.0678,64.01,0.0096,0.0073,2.7175,0.014,0.0714,22569124.7,1.5022,0.0006,0.0006,0.0272,0.013,0.6577,63.7092,59.4027,0.0082,-0.0139,0.0095,0.0094,0.7263,0.7904,1,0.4764,-1,-2
2025-10-29,1004.9,1012.5,1000.0,1007.85,17769445,0.018,0.0274,0.0716,66.1742,0.0099,0.0078,3.1418,0.0141,0.0669,21837688.0,0.8137,0.0043,0.0001,0.0314,0.0124,0.628,64.01,63.7092,0.0006,0.0082,0.0096,0.0095,1.5022,0.7263,0,0.5322,1,2
2025-10-30,1000.0,1009.5,997.1,998.15,19962917,0.0074,0.0168,0.0606,57.7396,0.0094,0.0082,2.0342,0.0144,0.0593,21420999.5,0.9319,-0.0096,-0.0106,0.0203,0.0124,0.0847,66.1742,64.01,0.0043,0.0006,0.0099,0.0096,0.8137,1.5022,0,0.5037,-1,-2
2025-10-31,994.0,1004.45,981.15,987.3,23221330,-0.0032,0.0055,0.0486,50.0543,0.008,0.0082,-0.709,0.0156,0.0556,21314524.4,1.0895,-0.0109,-0.0075,-0.0071,0.0236,0.2639,57.7396,66.1742,-0.0096,0.0043,0.0094,0.0099,0.9319,0.8137,1,0.5093,-1,0
2025-11-03,985.0,994.55,983.3,992.65,16607180,0.002,0.0105,0.0537,53.3514,0.0071,0.008,-0.9875,0.0157,0.05,20811968.6,0.798,0.0054,-0.0103,-0.0099,0.0113,0.8311,50.0543,57.7396,-0.0109,-0.0096,0.008,0.0094,1.0895,0.9319,0,0.5519,1,2
2025-11-04,987.0,997.0,983.7,985.25,20024544,-0.005,0.0029,0.0453,48.5749,0.0059,0.0076,-1.7648,0.0158,0.0478,20886061.65,0.9588,-0.0075,-0.0182,-0.0176,0.0135,0.1165,53.3514,50.0543,0.0054,-0.0109,0.0071,0.008,0.798,1.0895,0,0.5186,-1,-2
2025-11-06,981.0,991.05,974.0,984.65,22279516,-0.0051,0.0022,0.0442,48.1981,0.0047,0.007,-2.2874,0.0162,0.0475,20723250.65,1.0751,-0.0006,-0.023,-0.0229,0.0173,0.6246,48.5749,53.3514,-0.0075,0.0054,0.0059,0.0071,0.9588,0.798,0,0.5394,1,2
2025-11-07,980.0,984.9,974.75,982.3,15004568,-0.0067,-0.0002,0.0413,46.6711,0.0036,0.0064,-2.6269,0.0157,0.0468,20676493.55,0.7257,-0.0024,-0.0159,-0.0263,0.0103,0.7438,48.1981,48.5749,-0.0006,-0.0075,0.0047,0.0059,1.0751,0.9588,1,0.5707,1,0
2025-11-10,982.3,990.95,980.2,984.5,15988262,-0.0041,0.002,0.0432,48.3218,0.0028,0.0056,-1.0304,0.0147,0.0451,20707359.15,0.7721,0.0022,-0.0028,-0.0103,0.0109,0.4,46.6711,48.1981,-0.0024,-0.0006,0.0036,0.0047,0.7257,1.0751,1,0.5519,1,0
2025-11-11,983.5,993.5,978.0,991.7,10200530,0.0029,0.0089,0.0503,53.4048,0.0027,0.005,-1.1217,0.0141,0.0433,20529531.65,0.4969,0.0073,-0.001,-0.0112,0.0156,0.8839,48.3218,46.6711,0.0022,-0.0024,0.0028,0.0036,0.7721,0.7257,0,0.4796,-1,-2
2025-11-12,998.8,999.0,987.7,989.5,13137263,0.0006,0.0064,0.0475,51.7305,0.0025,0.0045,-1.4,0.0144,0.0408,20254682.1,0.6486,-0.0022,0.0043,-0.014,0.0114,0.1593,53.4048,48.3218,0.0073,0.0022,0.0027,0.0028,0.4969,0.7721,0,0.4469,-1,0
2025-11-13,984.0,990.1,982.6,986.65,14124839,-0.0021,0.0034,0.044,49.5627,0.002,0.004,-2.1035,0.014,0.0384,19814204.95,0.7129,-0.0029,0.002,-0.021,0.0076,0.54,51.7305,53.4048,-0.0022,0.0073,0.0025,0.0027,0.6486,0.4969,1,0.5093,-1,0
2025-11-14,976.05,991.65,976.05,989.6,21386965,0.0008,0.0061,0.0466,51.8136,0.0019,0.0036,-0.8566,0.0136,0.0355,19718030.85,1.0846,0.003,0.0074,-0.0086,0.0158,0.8686,49.5627,51.7305,-0.0029,-0.0022,0.002,0.0025,0.7129,0.6486,1,0.5177,-1,0
2025-11-17,991.25,997.95,985.6,996.55,18396408,0.0071,0.0127,0.0534,56.7148,0.0023,0.0033,0.9369,0.0133,0.0352,19491022.95,0.9438,0.007,0.0122,0.0094,0.0124,0.8866,51.8136,49.5627,0.003,-0.0029,0.0019,0.002,1.0846,0.7129,0,0.5203,1,2
