Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,HL_Spread,Close_Position,RSI_Lag_1,RSI_Lag_2,Return_1D_Lag_1,Return_1D_Lag_2,MACD_Lag_1,MACD_Lag_2,Vol_Ratio_Lag_1,Vol_Ratio_Lag_2,Target,Probability,Signal,Position_Change
2026-04-16,38.7,39.56,37.87,38.68,210213169,0.2458,0.2896,-0.0426,72.3316,0.0836,0.0403,69.6491,0.0716,0.6482,237304511.3,0.8858,0.0023,0.2778,0.6965,0.0437,0.4793,72.2106,71.8037,0.0084,-0.0638,0.0766,0.0671,1.2293,1.7486,1,0.2833,-1,0
2026-04-17,38.87,42.0,38.58,40.82,351314724,0.2765,0.342,0.0103,75.1059,0.0878,0.0481,57.6671,0.0723,0.6597,250855676.7,1.4005,0.0553,0.1239,0.5767,0.0838,0.655,72.3316,72.2106,0.0023,0.0084,0.0836,0.0766,0.8858,1.2293,0,0.3003,-1,0
2026-04-20,40.9,41.6,39.0,39.22,144974112,0.2006,0.2749,-0.029,69.4951,0.094,0.0589,38.391,0.0777,0.705,256154696.75,0.566,-0.0392,-0.0406,0.3839,0.0663,0.0846,75.1059,72.3316,0.0553,0.0023,0.0878,0.0836,1.4005,0.8858,0,0.2708,-1,0
2026-04-21,39.5,39.75,37.1,37.47,142331197,0.1312,0.2077,-0.0717,63.8746,0.0958,0.0684,28.3659,0.0833,0.7437,259189509.15,0.5491,-0.0446,-0.0209,0.2837,0.0707,0.1396,69.4951,75.1059,-0.0392,0.0553,0.094,0.0878,0.566,1.4005,1,0.33,-1,0
2026-04-22,37.69,38.83,37.53,38.43,115307167,0.1427,0.2271,-0.0475,65.5219,0.0923,0.0719,33.2986,0.0805,0.7211,263032735.55,0.4384,0.0256,-0.0041,0.333,0.0338,0.6923,63.8746,69.4951,-0.0446,-0.0392,0.0958,0.094,0.5491,0.566,0,0.3162,-1,0
2026-04-23,38.43,38.89,37.03,37.26,76371496,0.0967,0.181,-0.0757,61.8218,0.0908,0.0774,23.0922,0.0797,0.7332,264295077.55,0.289,-0.0304,-0.0367,0.2309,0.0499,0.1237,65.5219,63.8746,0.0256,-0.0446,0.0923,0.0958,0.4384,0.5491,0,0.2835,-1,0
2026-04-24,37.7,38.17,35.31,35.79,83360730,0.0481,0.1285,-0.1112,57.4334,0.0865,0.0818,-1.4593,0.0816,0.7297,266042042.9,0.3133,-0.0395,-0.1232,-0.0146,0.0799,0.1678,61.8218,65.5219,-0.0304,0.0256,0.0908,0.0923,0.289,0.4384,1,0.333,-1,0
2026-04-27,36.39,37.58,35.55,36.93,76591268,0.0731,0.1569,-0.0822,59.8157,0.0793,0.0793,-9.6624,0.079,0.6682,267959890.1,0.2858,0.0319,-0.0584,-0.0966,0.055,0.6798,57.4334,61.8218,-0.0395,-0.0304,0.0865,0.0908,0.3133,0.289,0,0.3307,-1,0
2026-04-28,37.0,37.08,35.7,35.81,55889463,0.0366,0.1165,-0.109,56.4717,0.0746,0.0803,-6.428,0.0812,0.6411,267736301.35,0.2087,-0.0303,-0.0443,-0.0643,0.0385,0.0797,59.8157,57.4334,0.0319,-0.0395,0.0793,0.0865,0.2858,0.3133,1,0.2932,-1,0
2026-04-29,36.24,37.18,35.9,36.21,59769528,0.0434,0.1233,-0.0982,57.388,0.0683,0.0772,-6.1674,0.0773,0.5802,265257104.95,0.2253,0.0112,-0.0578,-0.0617,0.0353,0.2422,56.4717,59.8157,-0.0303,0.0319,0.0746,0.0793,0.2087,0.2858,1,0.3212,-1,0
2026-04-30,36.21,36.95,35.57,36.56,59324091,0.0481,0.1282,-0.0886,58.2167,0.0634,0.0739,-5.4809,0.0674,0.4853,264959107.45,0.2239,0.0097,-0.0188,-0.0548,0.0377,0.7174,57.388,56.4717,0.0112,-0.0303,0.0683,0.0746,0.2253,0.2087,0,0.306,-1,0
2026-05-01,36.56,36.56,36.56,36.56,0,0.0433,0.1226,-0.0878,58.2167,0.0594,0.071,-10.4361,0.0554,0.4178,252601404.55,0.0,0.0,0.0215,-0.1044,0.0,0.0,58.2167,57.388,0.0097,0.0112,0.0634,0.0683,0.2239,0.2253,0,0.2601,-1,0
2026-05-04,37.49,37.81,36.16,36.41,55675040,0.0352,0.1128,-0.0908,57.6593,0.0554,0.0681,-7.1647,0.0526,0.3696,232572819.35,0.2394,-0.0041,-0.0141,-0.0716,0.0453,0.1515,58.2167,58.2167,0.0,0.0097,0.0594,0.0634,0.0,0.2239,0,0.2801,-1,0
