Date,Open,High,Low,Close,Volume
2020-06-25,483.96,496.79,476.9,487.2,70646790
2020-06-26,493.0,503.42,486.85,500.32,39969138
2020-06-29,491.11,512.71,491.11,509.6,46005956
2020-06-30,508.63,510.79,500.25,504.77,35746130
2020-07-01,504.77,519.05,502.62,513.65,34846718
2020-07-02,516.35,526.27,513.94,515.93,36954496
2020-07-03,517.63,518.96,506.74,508.61,27597254
2020-07-06,524.71,530.37,520.95,522.37,35558216
2020-07-07,525.4,526.49,517.66,523.39,24349850
2020-07-08,524.26,532.74,523.31,525.85,30056350
2020-07-09,529.47,535.01,524.38,532.76,20114484
2020-07-10,529.42,530.42,520.73,523.36,17562978
2020-07-13,525.64,527.1,507.35,511.59,29922114
2020-07-14,503.23,506.22,497.27,501.46,26612674
2020-07-15,506.83,511.0,497.31,498.76,20974394
2020-07-16,499.0,504.61,489.74,503.21,23662456
2020-07-17,501.55,522.84,501.2,520.21,28405738
2020-07-20,537.52,546.0,532.38,536.6,65124096
2020-07-21,545.6,548.39,537.05,539.2,47512422
2020-07-22,539.18,542.02,529.26,533.43,24718012
2020-07-23,532.79,541.74,528.64,535.34,20149122
2020-07-24,531.79,531.79,521.54,529.99,19598440
2020-07-27,520.88,522.37,509.27,511.24,37970094
2020-07-28,511.0,518.29,501.77,514.62,35596450
2020-07-29,511.95,515.5,499.9,504.18,33592086
2020-07-30,508.63,513.2,495.7,497.58,26956266
2020-07-31,500.91,500.91,483.08,489.12,37726696
2020-08-03,485.88,486.35,470.27,474.54,31783542
2020-08-04,477.38,502.5,475.01,493.31,60306168
2020-08-05,496.3,500.01,483.06,486.64,33221360
2020-08-06,491.11,499.64,486.02,492.86,33646888
2020-08-07,490.09,495.94,483.34,494.35,24836784
2020-08-10,494.43,503.9,494.33,497.58,22172854
2020-08-11,496.56,507.21,496.56,505.15,20136148
2020-08-12,504.37,504.84,496.32,503.76,20666432
2020-08-13,505.77,507.38,500.35,501.55,19892740
2020-08-14,504.8,504.8,486.52,489.9,20924512
2020-08-17,495.85,495.85,483.15,489.1,19561012
2020-08-18,486.85,502.78,484.01,500.35,24040824
2020-08-19,504.37,506.64,500.23,505.13,17715624
2020-08-20,499.61,506.24,498.21,501.53,19216734
2020-08-21,504.56,515.64,504.18,514.15,28924302
2020-08-24,514.32,531.82,514.15,529.02,36779740
2020-08-25,529.94,533.73,523.88,530.28,27601738
2020-08-26,530.89,535.98,525.45,529.68,25190062
2020-08-27,533.17,535.11,523.91,526.68,20645996
2020-08-28,526.61,532.79,518.58,527.81,38696610
2020-08-31,534.92,544.06,521.28,528.45,38501166
2020-09-01,534.21,541.59,524.74,533.88,28877884
2020-09-02,532.36,539.42,530.75,537.12,19761682
2020-09-03,538.59,542.71,534.21,535.58,19833362
2020-09-04,525.68,532.98,523.03,530.09,23661370
2020-09-07,528.67,530.18,520.47,525.92,17615466
2020-09-08,527.58,529.85,522.37,526.84,14624918
2020-09-09,521.42,525.68,516.8,519.29,15728872
2020-09-10,522.37,523.24,513.37,516.47,15188088
2020-09-11,519.27,523.24,507.21,510.84,20794730
2020-09-14,515.26,518.11,498.38,501.03,21650590
2020-09-15,505.79,509.65,501.1,506.98,16505110
2020-09-16,506.83,519.05,505.96,517.94,18710112
2020-09-17,513.37,518.11,510.53,513.18,18318686
2020-09-18,517.16,517.25,495.94,500.72,23481778
2020-09-21,499.64,507.38,493.24,496.94,19842878
2020-09-22,499.19,501.13,487.56,490.35,18620678
2020-09-23,495.37,499.64,489.86,495.96,16079828
2020-09-24,491.58,495.85,485.43,487.98,19809510
2020-09-25,497.27,498.19,485.74,494.43,20321544
2020-09-28,496.77,501.53,493.79,499.26,16152422
2020-09-29,501.06,506.69,497.74,503.21,12644446
2020-09-30,502.0,514.74,498.21,510.81,18813842
2020-10-01,516.26,525.68,516.26,524.24,21203080
2020-10-05,526.63,536.1,526.16,527.74,16940126
2020-10-06,537.55,543.68,533.35,541.83,19371990
2020-10-07,542.21,551.66,538.75,550.43,21248778
2020-10-08,558.83,569.73,550.95,564.42,35060674
2020-10-09,568.78,585.83,564.35,584.19,44972388
2020-10-12,583.25,588.55,570.96,574.77,19220546
2020-10-13,574.65,578.94,565.94,567.57,18353952
2020-10-14,566.2,575.08,556.7,573.75,22582918
2020-10-15,575.03,576.36,551.26,553.74,28246896
2020-10-16,558.83,569.96,555.52,568.0,25822848
2020-10-19,584.88,584.88,564.8,569.99,42359556
2020-10-20,571.86,581.28,571.1,579.65,27411978
2020-10-21,582.8,592.46,578.58,590.42,35640752
2020-10-22,587.23,591.98,579.2,584.08,21913060
2020-10-23,588.91,591.25,583.08,585.26,15866230
2020-10-26,582.42,588.2,570.48,573.47,19571976
2020-10-27,580.62,585.35,567.29,583.98,24317780
2020-10-28,581.57,583.46,569.02,572.85,16571186
2020-10-29,568.59,570.41,558.12,562.24,23060024
2020-10-30,560.04,567.97,557.11,560.51,11522716
2020-11-02,565.63,580.15,557.65,575.53,21926080
2020-11-03,580.83,592.34,580.38,591.01,28164230
2020-11-04,592.93,598.99,582.51,595.49,23404822
2020-11-05,599.56,604.3,593.1,601.08,21433928
2020-11-06,599.68,620.4,599.33,619.29,35705724
2020-11-09,622.86,637.43,622.86,634.87,26288440
2020-11-10,642.66,660.66,640.08,660.02,41517356
2020-11-11,662.98,670.03,649.05,658.26,36116194
2020-11-12,652.32,657.6,644.08,649.62,27053948
2020-11-13,648.25,648.25,637.92,643.51,22472480
2020-11-14,647.77,651.16,646.54,648.67,1835066
2020-11-17,656.3,668.99,653.84,667.02,31059900
2020-11-18,664.44,672.02,662.57,667.14,18862776
2020-11-19,658.14,662.76,647.87,650.88,20266882
2020-11-20,650.07,667.0,646.47,664.75,20405362
